id,name,city,country,iata,icao,latitude,longitude,altitude,timezone,tz_timezone
1,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.08168983459,145.391998291,1609,+10:00,+10
2,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465,6,+10:00,+10
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789855957,144.29600524902,1642,+10:00,+10
4,Nadzab Airport,Lae,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,72,+10:00,+10
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.443380355835,147.2200012207,44,+10:00,+10
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.58383011818,143.669006348,5,+10:00,+10
7,Narsarsuaq Airport,Narsarsuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877,34,-02:00,-02
8,Godthaab / Nuuk Airport,Nuuk,Greenland,GOH,BGGH,64.19090271,-51.6781005859,86,-02:00,-02
9,Kangerlussuaq Airport,Kangerlussuaq,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647,50,-02:00,-02
10,Thule Air Base,Pituffik,Greenland,THU,BGTL,76.5311965942,-68.7032012939,76,-03:00,ADT
11,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.660003662109,-18.072700500488,1,+00:00,GMT
12,Egilsstaðir Airport,Egilsstaðir,Iceland,EGS,BIEG,65.283302307129,-14.401399612427,23,+00:00,GMT
13,Hornafjörður Airport,Höfn,Iceland,HFN,BIHN,64.295601,-15.2272,7,+00:00,GMT
14,Húsavík Airport,Norðurþing,Iceland,HZK,BIHU,65.952301,-17.426001,14,+00:00,GMT
15,Ísafjörður Airport,Ísafjörður,Iceland,IFJ,BIIS,66.058097839355,-23.135299682617,2,+00:00,GMT
16,Keflavik International Airport,Reykjavík,Iceland,KEF,BIKF,63.985001,-22.6056,52,+00:00,GMT
17,Patreksfjörður Airport,Patreksfjörður,Iceland,PFJ,BIPA,65.555801,-23.965,3,+00:00,GMT
18,Reykjavik Airport,Reykjavík,Iceland,RKV,BIRK,64.1299972534,-21.9405994415,14,+00:00,GMT
19,Siglufjörður Airport,Hvanneyri,Iceland,SIJ,BISI,66.133301,-18.9167,3,+00:00,GMT
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.424301147461,-20.278900146484,99,+00:00,GMT
21,Sault Ste Marie Airport,Sault Ste. Marie,Canada,YAM,CYAM,46.485001,-84.509399,192,-04:00,EDT
22,Mayne Island Seaplane Base,Mayne Island,Canada,YAV,CAW7,48.8666992188,-123.300003052,0,-04:00,EDT
23,Shearwater,Halifax,Canada,YAW,CYAW,44.639721,-63.499444,167,-4,A
24,St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.3918991089,-56.0830993652,32,-02:30,NDT
25,Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.079833,-125.775583,24,-07:00,PDT
26,Kugaaruk Airport,Kugaaruk,Canada,YBB,CYBB,68.534401,-89.808098,17,-06:00,MDT
27,Baie Comeau Airport,Baie-Comeau,Canada,YBC,CYBC,49.1325,-68.204399,21,-04:00,EDT
28,CFB Bagotville,Saguenay,Canada,YBG,CYBG,48.330600738525,-70.996398925781,159,-04:00,EDT
29,Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.2988967896,-96.077796936,17,-05:00,CDT
30,Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.950802,-125.271004,105,-07:00,PDT
31,Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.91,-99.951897,409,-05:00,CDT
32,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.1081008911,-105.138000488,27,-06:00,MDT
33,Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,28,-07:00,PDT
34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,49.2963981628,-117.632003784,494,-07:00,PDT
35,Miramichi Airport,Miramichi,Canada,YCH,CYCH,47.007801,-65.449203,32,-03:00,ADT
36,Charlo Airport,Charlo,Canada,YCL,CYCL,47.990799,-66.330299,40,-03:00,ADT
37,Kugluktuk Airport,Kugluktuk,Canada,YCO,CYCO,67.816704,-115.143997,22,-06:00,MDT
38,Coronation Airport,Coronation,Canada,YCT,CYCT,52.0750007629,-111.444999695,790,-06:00,MDT
39,Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,49.1528015137,-121.939002991,9,-07:00,PDT
40,Clyde River Airport,Clyde River,Canada,YCY,CYCY,70.4860992432,-68.5167007446,26,-04:00,EDT
41,Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,64.1932983398,-83.3593978882,64,-05:00,EST
42,Dawson City Airport,Dawson City,Canada,YDA,CYDA,64.043098449707,-139.12800598145,370,-07:00,MST
43,Burwash Airport,Burwash Landing,Canada,YDB,CYDB,61.371101379395,-139.04100036621,806,-07:00,MST
44,Drayton Valley Industrial Airport,Drayton Valley,Canada,YDC,CER3,53.265800476074,-114.95999908447,846,-06:00,MDT
45,Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,49.210800170898,-57.391399383545,21,-02:30,NDT
46,Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,58.4221992493,-130.031997681,792,-07:00,PDT
47,Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN,51.100799560547,-100.05200195312,304,-05:00,CDT
48,Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ,55.742298126221,-120.18299865723,654,-07:00,MST
49,Edmonton International Airport,Edmonton,Canada,YEG,CYEG,53.3097000122,-113.580001831,723,-06:00,MDT
50,Arviat Airport,Arviat,Canada,YEK,CYEK,61.0942001343,-94.0708007812,9,-05:00,CDT
51,Estevan Airport,Estevan,Canada,YEN,CYEN,49.2103004456,-102.966003418,580,-06:00,CST
52,Edson Airport,Edson,Canada,YET,CYET,53.5788993835,-116.464996338,927,-06:00,MDT
53,Eureka Airport,Eureka,Canada,YEU,CYEU,79.9946975708,-85.814201355,78,-03:00,ADT
54,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,68.3041992188,-133.483001709,68,-06:00,MDT
55,Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,63.756402,-68.555801,33,-04:00,EDT
56,Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.868900299072,-66.537200927734,20,-03:00,ADT
57,Forestville,Forestville,Canada,,CYFE,48.746111,-69.097222,293,-5,A
58,Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,54.678100585938,-101.68199920654,303,-05:00,CDT
59,Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,61.1808013916,-113.690002441,160,-06:00,MDT
60,Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,61.760200500488,-121.23699951172,169,-06:00,MDT
61,Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,44.225299835205,-76.596900939941,92,-04:00,EDT
62,La Grande Rivière Airport,Radisson,Canada,YGL,CYGL,53.625301361084,-77.704200744629,194,-04:00,EDT
63,Gaspé (Michel-Pouliot) Airport,Gaspé,Canada,YGP,CYGP,48.7752990723,-64.4785995483,34,-04:00,EDT
64,Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ,49.778301239014,-86.939399719238,348,-04:00,EDT
65,Îles-de-la-Madeleine Airport,Îles de la Madeleine,Canada,YGR,CYGR,47.424701690674,-61.778099060059,10,-03:00,ADT
66,Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,52.8166999817,-102.310997009,358,-06:00,CST
67,Dryden Regional Airport,Dryden,Canada,YHD,CYHD,49.831699,-92.744202,412,-05:00,CDT
68,Ulukhaktok Holman Airport,Ulukhaktok,Canada,YHI,CYHI,70.762802124023,-117.80599975586,35,-06:00,MDT
69,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK,68.635597229,-95.8497009277,46,-06:00,MDT
70,John C. Munro Hamilton International Airport,Toronto,Canada,YHM,CYHM,43.1735992432,-79.9349975586,237,-04:00,EDT
71,Montréal / Saint-Hubert Airport,Montréal,Canada,YHU,CYHU,45.5175018311,-73.4169006348,27,-04:00,EDT
72,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,60.8396987915,-115.782997131,164,-06:00,MDT
73,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,CYHZ,44.8807983398,-63.5085983276,145,-03:00,ADT
74,Atikokan Municipal Airport,Atikokan,Canada,YIB,CYIB,48.7738990784,-91.6386032104,429,-05:00,EST
75,Pond Inlet Airport,Pond Inlet,Canada,YIO,CYIO,72.6832962036,-77.9666976929,55,-04:00,EDT
